,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,ExecCostBps,ExecLM,NetSpreadBps,NetLM,GrossSpreadBps,AbsGrossBps,HalfLifeDays,SpreadBps,ADVmm
0,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-07,49.43,80000.0,0.25,99.658,2.0029,-96.82,-1.9904,2.83,2.83,,91.033,2441.868
1,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-10,44.91,80000.0,0.25,88.923,1.9539,-9.26,-1.0114,79.66,79.66,0.17,82.208,2549.898
2,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-11,47.24,80000.0,0.25,98.107,1.9961,62.66,1.8039,160.77,160.77,0.21,83.005,2551.557
3,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-12,47.15,80000.0,0.25,100.63,2.007,-65.99,-1.826,-34.64,34.64,0.12,93.021,2567.59
4,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-13,45.52,80000.0,0.25,108.075,2.0377,-98.38,-1.9973,-9.69,9.69,0.21,102.572,2589.548
5,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-14,48.14,80000.0,0.25,102.78,2.0161,128.46,2.1121,231.24,231.24,0.25,91.556,2599.41
6,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-17,48.06,80000.0,0.25,104.231,2.0221,38.1,1.5922,142.33,142.33,0.27,97.874,2602.664
7,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-18,46.81,80000.0,0.25,103.721,2.02,-73.5,-1.8722,30.22,30.22,0.26,97.874,2605.191
8,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-19,48.61,80000.0,0.25,103.721,2.02,-63.92,-1.8124,39.8,39.8,0.26,97.874,2602.35
9,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-20,47.85,80000.0,0.25,112.812,2.0562,-11.51,-1.0973,101.3,101.3,0.27,106.773,2596.237
10,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-21,47.7,80000.0,0.25,112.807,2.0562,-97.1,-1.9917,15.7,15.7,0.25,106.773,2568.555
11,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-24,50.18,80000.0,0.25,107.065,2.0337,162.71,2.2141,269.77,269.77,0.21,101.732,2515.085
12,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-25,50.14,80000.0,0.25,113.577,2.0591,37.08,1.5807,-150.66,150.66,,105.866,2470.315
13,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-26,49.18,80000.0,0.25,117.49,2.0737,-62.13,-1.8002,55.36,55.36,,105.866,2290.251
14,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-27,49.44,80000.0,0.25,125.054,2.1006,-95.81,-1.9859,-29.25,29.25,0.14,112.26,2172.117
15,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-28,47.56,80000.0,0.25,111.981,2.053,-33.77,-1.5412,78.21,78.21,,97.225,2159.874
16,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-31,46.81,80000.0,0.25,109.541,2.0435,-85.8,-1.9385,-23.74,23.74,,92.286,2077.34
17,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-01,48.3,80000.0,0.25,109.545,2.0435,-90.21,-1.96,-19.34,19.34,,92.286,1931.795
18,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-02,49.41,80000.0,0.25,114.557,2.0628,448.96,2.6532,563.52,563.52,,92.286,1852.56
19,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-03,46.57,80000.0,0.25,114.557,2.0628,13.78,1.1696,-128.33,128.33,,92.286,1822.613
20,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-04,47.71,80000.0,0.25,110.779,2.0484,1.48,0.3941,112.26,112.26,,80.951,1857.387
21,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-07,44.27,80000.0,0.25,104.272,2.0223,128.92,2.1137,-233.2,233.2,,68.638,1944.479
22,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-08,43.59,80000.0,0.25,125.131,2.1008,-48.91,-1.6982,-76.22,76.22,,89.396,1866.001
23,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-09,46.83,80000.0,0.25,116.68,2.0707,-52.71,-1.7301,-63.97,63.97,,87.44,1947.441
24,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-10,45.17,80000.0,0.25,122.826,2.0928,-89.82,-1.9582,33.0,33.0,,88.299,1973.549
25,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-11,47.67,80000.0,0.25,116.129,2.0687,52.68,1.7298,168.81,168.81,,78.747,2003.71
26,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-14,48.28,80000.0,0.25,109.728,2.0443,-72.89,-1.8686,-36.84,36.84,,78.747,1978.124
27,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-15,47.74,80000.0,0.25,109.987,2.0453,-87.71,-1.948,-22.28,22.28,,77.076,1966.323
28,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-16,47.96,80000.0,0.25,113.286,2.058,-32.2,-1.5212,81.08,81.08,,80.615,1954.046
29,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-17,48.26,80000.0,0.25,121.114,2.0868,40.22,1.6151,161.33,161.33,,89.077,1914.645
