,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,RoundTripBps,HoldingDragBpsYr,DragLM,SpreadBps,ADVmm
0,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-07,49.43,80000.0,0.25,91.115,-376.0,-2.5764,91.033,2441.868
1,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-10,44.91,80000.0,0.25,82.31,-457.3,-2.6612,82.208,2549.898
2,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-11,47.24,80000.0,0.25,83.108,-393.0,-2.5955,83.005,2551.557
3,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-12,47.15,80000.0,0.25,93.122,-149.4,-2.1773,93.021,2567.59
4,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-13,45.52,80000.0,0.25,102.673,-87.8,-1.9483,102.572,2589.548
5,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-14,48.14,80000.0,0.25,91.659,-502.8,-2.7022,91.556,2599.41
6,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-17,48.06,80000.0,0.25,97.977,-463.7,-2.6672,97.874,2602.664
7,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-18,46.81,80000.0,0.25,98.0,-604.9,-2.7824,97.874,2605.191
8,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-19,48.61,80000.0,0.25,98.0,-252.5,-2.4039,97.874,2602.35
9,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-20,47.85,80000.0,0.25,106.88,-566.1,-2.7536,106.773,2596.237
