,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,BtcBeta,VolAnn,TrackingErrorPct,RoundTripBps,ADVmm
0,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-07,49.43,80000.0,0.25,1.0314,46.575,19.331,91.115,2441.868
1,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-10,44.91,80000.0,0.25,1.0053,49.238,18.236,82.31,2549.898
2,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-11,47.24,80000.0,0.25,1.0023,50.448,18.131,83.108,2551.557
3,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-12,47.15,80000.0,0.25,0.9946,49.243,18.236,93.122,2567.59
4,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-13,45.52,80000.0,0.25,0.9959,49.629,18.234,102.673,2589.548
5,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-14,48.14,80000.0,0.25,1.0104,50.945,18.697,91.659,2599.41
6,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-17,48.06,80000.0,0.25,1.0155,50.182,18.703,97.977,2602.664
7,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-18,46.81,80000.0,0.25,1.0172,50.327,18.747,98.0,2605.191
8,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-19,48.61,80000.0,0.25,1.005,49.68,18.861,98.0,2602.35
9,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-20,47.85,80000.0,0.25,0.9871,49.011,18.691,106.88,2596.237
10,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-21,47.7,80000.0,0.25,0.9872,49.005,18.694,106.875,2568.555
11,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-24,50.18,80000.0,0.25,0.9932,49.674,18.771,101.834,2515.085
12,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-25,50.14,80000.0,0.25,0.9751,47.937,18.236,105.968,2470.315
13,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-26,49.18,80000.0,0.25,0.9729,47.584,18.39,105.968,2290.251
14,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-27,49.44,80000.0,0.25,0.9748,47.56,18.366,112.342,2172.117
15,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-28,47.56,80000.0,0.25,0.9833,48.174,18.2,97.333,2159.874
16,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-31,46.81,80000.0,0.25,0.9847,48.235,17.878,92.423,2077.34
17,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-01,48.3,80000.0,0.25,0.9794,47.835,17.809,92.428,1931.795
18,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-02,49.41,80000.0,0.25,0.9474,48.038,20.867,92.428,1852.56
19,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-03,46.57,80000.0,0.25,0.9315,48.673,24.979,92.428,1822.613
20,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-04,47.71,80000.0,0.25,0.9234,47.567,25.122,81.093,1857.387
21,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-07,44.27,80000.0,0.25,0.9459,49.598,25.456,68.795,1944.479
22,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-08,43.59,80000.0,0.25,0.9311,49.593,25.653,89.538,1866.001
