Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,RoundTripBps,HoldingDragBpsYr,SpreadBps,ADVmm,BtcBeta,TrackingErrorPct,VolAnn,ExecCostBps,NetSpreadBps,GrossSpreadBps,HalfLifeDays
IBIT,iShares Bitcoin Trust,BlackRock,spot,Spot bitcoin,BTC-USD,2026-08-27,45.29,80000.0,0.25,28.234,359.5,28.162,2112.786,0.9735,13.021,39.471,44.481,68.34,112.82,2.88
FBTC,Fidelity Wise Origin Bitcoin,Fidelity,spot,Spot bitcoin,BTC-USD,2026-08-27,69.56,20000.0,0.25,28.268,348.1,27.644,248.668,0.9648,13.228,39.22,44.774,85.71,130.48,3.01
GBTC,Grayscale Bitcoin Trust,Grayscale,spot,Spot bitcoin,BTC-USD,2026-08-27,61.86,18000.0,1.5,28.976,464.3,27.677,116.798,0.9659,12.846,39.139,45.465,89.02,134.48,3.1
ARKB,ARK 21Shares Bitcoin ETF,ARK / 21Shares,spot,Spot bitcoin,BTC-USD,2026-08-27,26.51,5000.0,0.21,30.259,334.2,26.574,42.77,0.9685,12.882,39.241,47.3,86.28,133.58,3.1
BITB,Bitwise Bitcoin ETF,Bitwise,spot,Spot bitcoin,BTC-USD,2026-08-27,43.39,4000.0,0.2,29.38,357.6,26.173,52.833,0.9665,12.987,39.197,46.622,85.59,132.21,3.2
HODL,VanEck Bitcoin Trust,VanEck,spot,Spot bitcoin,BTC-USD,2026-08-27,22.59,1300.0,0.2,31.884,326.0,27.157,26.675,0.966,13.099,39.225,48.633,78.85,127.49,2.99
BTCO,Invesco Galaxy Bitcoin ETF,Invesco / Galaxy,spot,Spot bitcoin,BTC-USD,2026-08-27,79.51,800.0,0.25,68.442,321.6,25.308,3.843,0.9655,13.04,39.19,86.116,50.95,137.07,2.94
BRRR,CoinShares Valkyrie Bitcoin,CoinShares,spot,Spot bitcoin,BTC-USD,2026-08-27,22.53,600.0,0.25,187.195,359.5,16.908,0.931,0.9694,13.252,39.397,209.069,-90.4,118.67,2.77
BTCW,WisdomTree Bitcoin Fund,WisdomTree,spot,Spot bitcoin,BTC-USD,2026-08-27,84.46,400.0,0.25,143.23,342.9,16.753,1.414,0.9671,13.325,39.341,165.181,-32.35,132.83,3.04
EZBC,Franklin Bitcoin ETF,Franklin Templeton,spot,Spot bitcoin,BTC-USD,2026-08-27,46.17,500.0,0.19,65.236,333.3,24.948,6.022,0.9658,13.021,39.191,83.09,52.31,135.41,3.03
